name,rating,category
Welcome Hotel,3.5416666666666665,Hotels
Khayaban Boys Hostel,4.183333333333334,Hotels
Mannat Hotel IJP Road,3.733333333333333,Hotels
Royal Express Hotel,4.8,Hotels
SMART LODGE ISLAMABAD,4.636363636363637,Hotels
Lahore City Hotel,4.794871794871795,Hotels
Swan Suites,4.266666666666667,Hotels
Step Inn Guest House Islamabad,4.6125,Hotels
hotel Luxury Inn,3.85,Hotels
Freddy’s luxury apartments,4.204545454545454,Hotels
Youth Hostel,4.310924369747899,Hotels
Viceroy Executive Hotel Apartments Islamabad,4.9,Hotels
Furnished Luxury Studio Apartment,4.305084745762712,Hotels
Golden One Hotel,4.36,Hotels
MUDAN HOTEL and suites,4.024390243902439,Hotels
R.M RESIDENCY,4.256410256410256,Hotels
Hotel Day In Emporium,3.888888888888889,Hotels
Skyways Hotel,3.2666666666666666,Hotels
Exective palace Hotel,4.87,Hotels
Royal Rose Guest House,4.7,Hotels
Phoenix Apartments,4.666666666666667,Hotels
Imperial lodges family Guest house in Islamabad,4.0,Hotels
Family inn,4.7,Hotels
MANAMA HOTEL,3.84,Hotels
New Paradise Hotel,3.449438202247191,Hotels
Royal Suites Islamabad,4.611111111111111,Hotels
Shes Hostel,3.5730337078651684,Hotels
Lavish Inn Islamabad,4.03,Hotels
Nova Residency,3.6,Hotels
Clifton Hotel,3.6416666666666666,Hotels
Legend Palace Islamabad,4.775,Hotels
Luxury Hotel Apartments,4.355555555555555,Hotels
Serenity Corner Hotel Apartments,4.454545454545454,Hotels
Shimla Hotel,4.216666666666667,Hotels
Glade inn,2.675,Hotels
Goldcrest Apartments,4.635135135135135,Hotels
New Shelton House,4.478632478632479,Hotels
Alnoor Luxury Hotel Apartments Lahore,4.325,Hotels
Hotel Shadman,4.521739130434782,Hotels
Esquire Serviced Apartments,3.986666666666667,Hotels
SITARA HOTEL,4.62,Hotels
Grand Peace House I,4.635135135135135,Hotels
The Rich Hotel,3.914285714285714,Hotels
Hotel AL-Habib Islamabad,3.7560975609756095,Hotels
Adara Canal Suites,4.425,Hotels
The Luxury Girls Hostel Lahore - LDA Avenue,4.9,Hotels
Pine View Hotel,4.183333333333334,Hotels
Gulberg Sweet Hotel Lahore,4.235399465369494,Hotels
The Guest House,4.466666666666667,Hotels
Grace Crown Hotel,4.8,Hotels
Luxury Suite For Rent,4.5,Hotels
family friendly getaway awaits you!,4.1,Hotels
Serentiy inn Guest House islamabad,4.794871794871795,Hotels
Hotel Crown Plaza,3.861788617886179,Hotels
Capital Lodges - Deluxe Double Room,4.266666666666667,Hotels
Margalla Hills Residency Islamabad - Deluxe Room,3.85,Hotels
Hotel Red Line,4.310924369747899,Hotels
Hotel Smart One,4.384615384615385,Hotels
Blue Swiss Hotel & Cafe,3.783505154639175,Hotels
Continental boutique house,4.36,Hotels
Hotel Mehran,3.4166666666666665,Hotels
Neelum Guest house,4.256410256410256,Hotels
Downtown Hostel,3.83,Hotels
Morgah Resort,3.888888888888889,Hotels
Comfort Zone Hotel,4.6909090909090905,Hotels
"Winter Hotel,Top hotels in islamabad",4.87,Hotels
Sunrise Hotel & Restaurant,3.920353982300885,Hotels
189 The Guest House,4.666666666666667,Hotels
Lasani One Hotel Johar Town,4.611111111111111,Hotels
Millat Guest House G9/4,4.7,Hotels
Royal Blue inn Guest House,3.449438202247191,Hotels
SAFARI HOTEL ANARKALI,4.428571428571429,Hotels
Casa Blanca Boutique Guest House,3.5730337078651684,Hotels
Mirage Hotel Lahore,4.165217391304348,Hotels
Hotel Sakhawat,3.6416666666666666,Hotels
Family Inns Davis Road,3.733333333333333,Hotels
Mashal Inn Guest House Islamabad,4.355555555555555,Hotels
Green View Hotel,3.857142857142857,Hotels
Midway Inn Hotel,4.216666666666667,Hotels
Gulberg View Hotel,3.86,Hotels
The 108 Hotel,4.635135135135135,Hotels
Shimla Hill Hotel Lahore,4.102564102564102,Hotels
Dior One Hotel,4.329545454545454,Hotels
Islamabad lodge,4.325,Hotels
Decent Lodge Guest House,4.183333333333334,Hotels
Royal Galaxy Hotel & Residence - Near Islamabad International Airport & Motorway,4.521739130434782,Hotels
Seven Stars Hotel,3.7,Hotels
Umda Safari,4.62,Hotels
The Comfort Lodges,3.914285714285714,Hotels
HOTEL ROSE INN,4.6075949367088604,Hotels
Islamabad Guest house,4.425,Hotels
Pearl Suites DHA,3.55,Hotels
Capital Lodges E-11,4.9,Hotels
"Apartment in Bahria Town, lahore",4.083333333333333,Hotels
Pyramid International Guest House - Budget Double Room,4.235399465369494,Hotels
Go Hotel 001 Johar Town,4.370967741935484,Hotels
Guest House in F7 Islamabad,4.466666666666667,Hotels
Mall View Hotel Gulberg,3.932584269662921,Hotels
Riviera Guest House,4.5,Hotels
Air Reside Hotel Lahore,4.675,Hotels
White Rose Guest House,4.1,Hotels
Atlantic Inn Hotel,4.294117647058823,Hotels
Hotel Islamabad Metro Inn,3.861788617886179,Hotels
7star,3.6666666666666665,Hotels
Motorway Majesty Lodges,4.384615384615385,Hotels
Hotel Park view,4.76,Hotels
Hotel de Palazzo,3.783505154639175,Hotels
Lahore Hostel Johar Town,4.36734693877551,Hotels
